Country,Name,Code,AirportCode,AirportName
Portugalia,Casabela  ,FAO17011,FAO,Faro
Turcja,Elysee Beach Hotel,AYT61120,AYT,Antalya
Bu³garia,Duni Royal Pelican,BOJ12015,BOJ,Burgas
Sri Lanka,The Palms,CMB42016,CMB,Sri Lanka
Turcja,Aquamarin Side Resort,AYT42032,AYT,Antalya
Wyspy Kanaryjskie,Bull Costa Canaria & Spa,LPA21003,LPA,Gran Canaria
Aruba,Hotel Riu Palace Antillas,AUA10020,AUA,Aruba
Grecja,Atlantica Beach Resort Kos,KGS15056,KGS,Kos
Turcja,Annabella Park,AYT55006,AYT,Antalya
Grecja,Vantaris Palace,HER28017,HER,Heraklion
Tajlandia,Hyatt Regency Phuket Resort,HKT34014,HKT,Phuket
Hiszpania,Pabisa Bali Tower,PMI43018,PMI,Palma de Mallorca
Dominikana,Viva Wyndham Dominicus Palace,PUJ60010,PUJ,Punta Cana
Grecja,Horizon Beach Resort,KGS22020,KGS,Kos
Grecja,The Royal Blue,HER82008,HER,Heraklion
Grecja,Grecotel Casa Marron ,GPA14011,GPA,Araxos
Turcja,Selene Beach & Spa Hotel,AYT55029,AYT,Antalya
Cypr,GrandResort Limassol,LCA12009,LCA,Larnaca
Grecja,Gaia Palace,KGS22006,KGS,Kos
Grecja,Belvedere & Luxury Suites,ZTH12001,ZTH,Zakynthos
Grecja,Rhodos Horizon Resort,RHO11021,RHO,Rodos
Tunezja,Seabel Aladin,DJE11024,DJE,Djerba
Grecja,Horizon Beach,HER52010,HER,Heraklion
Bu³garia,Parkhotel Odessos,VAR21032,VAR,Warna
Chorwacja,Hilton Imperial Dubrovnik,DBV11004,DBV,Dubrownik
Grecja,Porto Platanias Beach Resort & Spa,CHQ18016,CHQ,Chania
Grecja,Fito Aqua Bleu,SMI41011,SMI,Samos
Dominikana,Catalonia Bavaro Beach Golf und Casino Resort,PUJ62081,PUJ,Punta Cana
Egipt,Utopia Beach Club,RMF18092,RMF,Marsa Alam
Cypr,Amara,LCA12060,LCA,Larnaca
Grecja,Vantaris Beach,HER28021,HER,Heraklion
Hiszpania,Amare Beach Hotel Ibiza,IBZ29031,IBZ,Ibiza
Turcja,Sundance Resort ,BJV23003,BJV,Milas-Bodrum
Grecja,Mythos Palace,HER28042,HER,Heraklion
Hiszpania,Club Mac Alcudia,PMI83206,PMI,Palma de Mallorca
Dominikana,TRS Turquesa Hotel,PUJ62037,PUJ,Punta Cana
Bu³garia,Hotel Sol Luna Bay Resort,VAR19050,BOJ,Burgas
Hiszpania,Aubamar Suites & Spa by Pabisa,PMI43071,PMI,Palma de Mallorca
Grecja,Ocean Heights View Hotel,HER41056,HER,Heraklion
Wyspy Kanaryjskie,Labranda Costa Mogan,LPA52003,LPA,Gran Canaria
Indonezja - Bali,Courtyard by Marriott Bali Nusa Dua Resort,DPS20003,DPS,Denpasar
Hiszpania,Insotel Punta Prima Prestige Suites & Spa,MAH11003,MAH,Minorka
Turcja,Marbel Hotel by Palm Wings,ADB11110,ADB,Izmir
Grecja,Lindos Imperial Resort & Spa,RHO16030,RHO,Rodos
Grecja,Princessa Riviera Resort,SMI41009,SMI,Samos
Grecja,Apollo Palace,CFU13010,CFU,Korfu
Hiszpania,Pi?ero Bahia de Palma,PMI44010,PMI,Palma de Mallorca
Turcja,Paloma Finesse,AYT48022,AYT,Antalya
Cypr,Louis St. Elias Resort & Waterpark,LCA15067,LCA,Larnaca
Chorwacja,Atrium Hotel,SPU02601,SPU,Split
Grecja,Lesante Cape Resort & Villas,ZTH17001,ZTH,Zakynthos
Meksyk,Sandos Caracol Eco Resort,CUN43034,CUN,Cancun
Grecja,Meliton,RHO10020,RHO,Rodos
Grecja,Kernos Beach,HER21017,HER,Heraklion
Turcja,Rixos Premium Bodrum,BJV26053,BJV,Milas-Bodrum
Seszele,STORY Seychelles,SEZ10005,SEZ,Mahe
Hiszpania,THB Gran Playa,PMI82020,PMI,Palma de Mallorca
Grecja,Kalypso Resort & Spa,CHQ23009,HER,Heraklion
Portugalia,Vidamar Resort Algarve,FAO16550,FAO,Faro
Hiszpania,Riu Concordia,PMI43009,PMI,Palma de Mallorca
Grecja,Porto Kalamaki,CHQ24030,CHQ,Chania
Cypr,Hotel Capo Bay  ,LCA15010,LCA,Larnaca
Wyspy Kanaryjskie,Taurito Princess,LPA53001,LPA,Gran Canaria
Grecja,Rebecca's Village,CFU32041,CFU,Korfu
Turcja,TUI BLUE Palm Garden,AYT51080,AYT,Antalya
Jamajka,Royalton Negril,MBJ22030,MBJ,Montego Bay
Indonezja - Bali,Holiday Inn Resort Bali Benoa,DPS19040,DPS,Denpasar
Wyspy Kanaryjskie,Labranda Corralejo Village,FUE24055,FUE,Fuerteventura
Hiszpania,The Ibiza Twiins,IBZ22008,IBZ,Ibiza
Dominikana,Tropical Princess Beach Resort & Spa,PUJ62034,PUJ,Punta Cana
Kuba,Iberostar Selection Varadero,VRA20113,HAV,Havana
Grecja,Grecotel Casa Paradiso,KGS23011,KGS,Kos
Egipt,Paradise Abu Soma,HRG12090,HRG,Hurghada
Jamajka,Hotel Riu Negril,MBJ22014,MBJ,Montego Bay
Hiszpania,Bellamar,IBZ28005,IBZ,Ibiza
Mauritius,Zilwa Attitude,MRU46001,MRU,Mauritius
Czarnogóra,Monte Casa Spa & Wellness de Lux,TGD19013,TGD,Podgorica
Cypr,Napa Mermaid Hotel Suites,LCA20025,LCA,Larnaca
Meksyk,Ocean Maya Royale by H10,CUN43070,CUN,Cancun
Zjednoczone Emiraty Arabskie,Hotel Rixos Bab Al Bahr,RKT15007,DXB,Dubai
Grecja,Saint Nicholas,SMI45012,SMI,Samos
Grecja,Axos Hotel,HER80075,HER,Heraklion
Zanzibar,Neptune Pwani Beach Resort Spa   ,ZNZ30005,ZNZ,Zanzibar
Egipt,Aurora Bay Resort,RMF18047,RMF,Marsa Alam
Malediwy,Dhigali Maldives,MLE15002,MLE,Male
Cypr,Kefalos Damon Hotel Apts,PFO10014,PFO,Pafos
Tunezja,Vincci Helios Beach,DJE11006,DJE,Djerba
Egipt,Jasmine Palace Resort,HRG11042,HRG,Hurghada
Meksyk,Dos Playas Faranda,CUN40090,CUN,Cancun
